DateTime,Open,High,Low,Close,Volume,Adj Close
20210129,3521.72,3531.6,3446.55,3483.07,293662664,3483.07
20210128,3534.67,3549.54,3496.88,3505.18,270862461,3505.18
20210127,3567.55,3578.8,3546.49,3573.34,264107161,3573.34
20210126,3610.97,3610.97,3564.74,3569.43,278139884,3569.43
20210125,3605.36,3637.1,3591.02,3624.24,327341070,3624.24
20210122,3616.54,3616.54,3585.03,3606.75,324463084,3606.75
20210121,3590.92,3636.24,3585.8,3621.26,327466995,3621.26
20210120,3564.12,3589.96,3556.44,3583.09,272271661,3583.09
20210119,3596.36,3603.15,3553.02,3566.38,323439541,3566.38
20210118,3554.8,3608.77,3544.26,3596.22,301652565,3596.22
20210115,3566.28,3589.27,3533.79,3566.38,324612744,3566.38
20210114,3584.93,3599.06,3559.6,3565.9,347666819,3565.9
20210113,3613.28,3622.35,3575.59,3598.65,388127791,3598.65
20210112,3518.01,3608.34,3517.47,3608.34,323406153,3608.34
20210111,3571.32,3597.7,3516.99,3531.5,362479154,3531.5
20210108,3577.69,3588.06,3544.89,3570.11,345557896,3570.11
20210107,3552.91,3576.2,3526.62,3576.2,405348226,3576.2
20210106,3530.91,3556.8,3513.13,3550.88,370230926,3550.88
20210105,3492.19,3528.68,3484.72,3528.68,407995934,3528.68
20210104,3474.68,3511.66,3457.21,3502.96,380790800,3502.96
20201231,3419.73,3474.92,3419.73,3473.07,335673926,3473.07
20201230,3375.01,3414.45,3374.42,3414.45,291023543,3414.45
20201229,3399.29,3407.09,3376.09,3379.04,311769185,3379.04
20201228,3396.36,3412.52,3383.65,3397.29,316181542,3397.29
20201225,3351.79,3397.01,3348.35,3396.56,294546895,3396.56
20201224,3382.19,3394.07,3354.02,3363.11,275044450,3363.11
20201223,3362.47,3394.21,3360.2,3382.32,299523527,3382.32
20201222,3410.97,3415.75,3353.86,3356.78,323037654,3356.78
20201221,3394.39,3423.61,3381.12,3420.57,283759794,3420.57
20201218,3400.49,3413.81,3382.75,3394.9,280992641,3394.9
20201217,3367.28,3406.15,3354.01,3404.87,275463631,3404.87
20201216,3371.26,3378.66,3359.17,3366.98,220813976,3366.98
20201215,3366.58,3373.56,3348.42,3367.23,225667402,3367.23
20201214,3349.53,3371.13,3338.63,3369.12,239807926,3369.12
20201211,3381.01,3383.18,3325.17,3347.19,298617158,3347.19
20201210,3365.73,3384.89,3357.75,3373.28,247308304,3373.28
20201209,3416.08,3422.54,3371.92,3371.96,260747424,3371.96
20201208,3417.69,3428.66,3403.03,3410.18,226907328,3410.18
20201207,3446.65,3449.58,3414.31,3416.6,254522508,3416.6
20201204,3436.73,3448.4,3417.05,3444.58,256276705,3444.58
20201203,3448.54,3452.16,3428.8,3442.14,298459930,3442.14
20201202,3453.52,3465.73,3435.87,3449.38,312811114,3449.38
20201201,3388.99,3457.64,3386.91,3451.94,316188980,3451.94
20201130,3418.16,3456.74,3391.76,3391.76,384989968,3391.76
20201127,3373.84,3408.31,3364.49,3408.31,280649894,3408.31
20201126,3360.06,3371.45,3344.28,3369.73,255886822,3369.73
20201125,3417.51,3423.49,3362.33,3362.33,322110207,3362.33
20201124,3407.41,3413.93,3396.24,3402.82,300994144,3402.82
20201123,3384.1,3431.65,3377.99,3414.49,373872047,3414.49
20201120,3359.6,3380.15,3356.31,3377.73,261271219,3377.73
20201119,3339.09,3367.33,3330.45,3363.09,253262992,3363.09
20201118,3337.33,3358.89,3333.99,3347.3,287531259,3347.3
20201117,3347.15,3347.7,3323.95,3339.89,283632479,3339.89
20201116,3325.62,3346.97,3313.65,3346.97,279593761,3346.97
20201113,3327.23,3327.23,3291.64,3310.1,227898364,3310.1
20201112,3344.46,3350.28,3329.49,3338.68,216501309,3338.68
